corr_etoe,seed_num
2.4588830440480582,1
2.2971740347659715,2
2.727953519266016,3
2.4713124144960754,4
2.5428772407534934,5
2.4785013920413865,6
2.403363855642505,7
2.5441995679885627,8
2.365967700339683,9
2.468305707559292,10
2.230540749393326,11
2.5859848012816182,12
2.342248542641727,13
2.475545469948091,14
2.425991233351008,15
2.510757918928204,16
2.448800627256165,17
2.420096991101976,18
2.220217949118254,19
2.422646434941885,20
2.441246895000446,21
2.4762510898495282,22
2.616990175160712,23
2.618855904643812,24
2.449520957522743,25
2.3997215070286213,26
2.442376036987948,27
2.611924003329155,28
2.499682794350083,29
2.5291853602308856,30
2.581069298235439,31
2.348029973183559,32
2.4614264499115293,33
2.282373857079728,34
2.414416917892062,35
2.556413371386223,36
2.2751478435843233,37
2.4763758741710715,38
2.5957692174856812,39
2.474144818715793,40
2.610708365421943,41
2.446384964952993,42
2.5397267457642947,43
2.374239432938082,44
2.533097733860604,45
2.677303292357755,46
2.539638454176574,47
2.4171195836426342,48
2.4809180927910934,49
2.336593060161916,50
2.41470156308367,51
2.589510825550853,52
2.6550993546444266,53
2.1717210103030102,54
2.354930219296015,55
1.9203018946637649,56
2.4985595339892654,57
2.4475523449962737,58
2.392623106751119,59
2.3445030859152918,60
2.4285431920881533,61
2.421577171860117,62
2.419055516601404,63
2.416294558933969,64
2.527612112875984,65
2.461936388491273,66
2.2725463444170297,67
2.086940799146533,68
2.4479022361865668,69
2.565328014307065,70
2.6129233139109607,71
2.426176388482383,72
2.6166142661027987,73
2.518174367223455,74
2.489327316249641,75
2.534327872163735,76
2.341582101148191,77
2.2196414928105535,78
2.584689502692536,79
2.460886338244691,80
2.348445513805217,81
2.4625469390205708,82
2.4209152831414764,83
2.454558807876411,84
2.15488768256522,85
2.54609089169031,86
2.4832286274649684,87
2.29773641328653,88
2.387653666148369,89
2.553766904121155,90
2.543631304661411,91
2.489669019263699,92
2.4792579398488988,93
2.401933508304559,94
2.41226770619215,95
2.3958991608303113,96
2.482517329863203,97
2.308544485278794,98
2.738871589801961,99
2.5589720585785334,100
2.422529364603954,101
2.457352371018417,102
2.613989920458685,103
2.4962930862039703,104
2.2348874071501745,105
2.3382419377520134,106
2.523747754164755,107
2.400913670986792,108
2.4680146274443118,109
2.480356649212527,110
2.5099399859934044,111
2.6250754782335646,112
2.45759651369025,113
2.4266760768168183,114
2.325636277235996,115
2.315700953829401,116
2.3104521235843483,117
2.5402797127315764,118
2.575795628999105,119
2.4310094130077444,120
2.460913604496083,121
2.329699293342348,122
2.6464766178185593,123
2.282164638806364,124
2.4327152455422594,125
2.296969207206424,126
2.343425624652563,127
2.573304819031399,128
2.5002916299566142,129
2.345574768311685,130
2.444973892094628,131
2.6133658983310153,132
2.4973226457132234,133
2.4681314569964905,134
2.507570872137436,135
2.339861282859341,136
-1.285900164141653,137
2.475262822017718,138
2.4848344327199974,139
2.50555773840637,140
2.3756658032402815,141
2.438708322751895,142
2.367601604620975,143
2.371885097663674,144
2.278852750500598,145
2.59336265516602,146
2.612223909122704,147
1.2671281786015978,148
2.5259599662604892,149
2.40100444772955,150
2.289000060749175,151
2.274971168097248,152
2.436752911462864,153
2.435187283294583,154
2.5080638016609917,155
2.2342895462507157,156
2.448461663745632,157
-1.164280227727853,158
2.508056938532878,159
2.554659833806482,160
2.659171351954033,161
2.409540293561187,162
2.563586437765271,163
2.5067717635960154,164
2.4138567279116385,165
2.454282415143643,166
2.423752191415723,167
2.427210046883312,168
2.563206496334773,169
2.427656540315251,170
2.474761243922865,171
2.4641601943735423,172
2.570895615482562,173
2.409302458589639,174
2.660844735325085,175
2.5072953611915447,176
2.1665071722982256,177
2.3521897043054247,178
2.581913550621983,179
2.382167975805813,180
2.3653387829902206,181
2.43715706993548,182
2.455559651021573,183
2.317953409771151,184
2.129794605743265,185
2.500629792967649,186
2.4134757596866567,187
2.4272200842795106,188
2.3319700211763643,189
2.420788698004897,190
2.515000433996874,191
2.350871948807438,192
2.447748052318868,193
2.326753931199203,194
2.3223386552481156,195
2.5387062767977873,196
2.2795983330578653,197
2.4625257314820117,198
2.401352001579665,199
2.474912216308189,200
2.4417554336074705,201
2.2650796705233702,202
2.426724027675537,203
2.578339847391021,204
1.343359158817839,205
2.5542455290440427,206
2.1994870474157167,207
2.393284592136535,208
2.559742027269103,209
2.567426914333924,210
2.5303310008577107,211
2.448656898969613,212
2.408086792635789,213
2.399829175607004,214
2.7733318312135498,215
2.401998168036399,216
2.2328216240147443,217
2.3654163923407165,218
2.7188927190407806,219
2.698056304512902,220
2.519313579994438,221
2.467213093882981,222
2.67676744975534,223
2.325991904999361,224
2.479625877482373,225
2.453737483981604,226
-1.3664258272591727,227
2.382857664608997,228
2.395904628296514,229
2.4570791960980363,230
2.4700033570947184,231
2.4291117572096868,232
2.592192852084708,233
2.455045786028458,234
2.5266243221330953,235
2.432181417826378,236
2.378656085997188,237
2.338113608849961,238
2.457299492163389,239
2.560052096240875,240
2.580698668415399,241
2.575191229131714,242
2.2114350433553054,243
2.4713821311102615,244
2.351136234363083,245
2.663539835396421,246
2.7255856893975543,247
2.515390280633249,248
2.418489243512675,249
2.524249458058229,250
2.549998072553509,251
2.392081318267284,252
2.432699197451698,253
2.351577597331948,254
2.4554831976370752,255
2.5177780405632593,256
2.34230777842633,257
2.772398432675708,258
2.451306896044736,259
2.474724067789715,260
2.207782202308519,261
2.492197748614979,262
2.2844813519715563,263
2.620263994637283,264
2.268741425517519,265
2.389022935127275,266
2.367371216666683,267
2.7469316299863262,268
2.48973475730971,269
2.297771914621206,270
2.7949655886099034,271
2.726113007756946,272
2.464801952416651,273
2.4925333126841154,274
2.430557876958265,275
2.659274129242067,276
2.453665416981017,277
2.190096857446104,278
2.412157281007936,279
2.273686887621608,280
2.19599943353103,281
2.596910547834638,282
2.3469196375531367,283
2.3262462586052473,284
2.51165750877917,285
2.564284594213731,286
2.401082276809249,287
2.531013251964116,288
2.5473488079987616,289
2.3526562284386747,290
2.442504585808566,291
2.297894419649301,292
-1.0487640919003371,293
2.2949212210103243,294
2.327913420222536,295
2.460306819010793,296
2.5036467031127434,297
2.5349188667432982,298
2.462663737724418,299
